127.0.0.1 - - [23/Aug/2020:13:59:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:59:44 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:59:44 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 12928
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:59:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:59:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:00:30 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:00:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:00:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:00:55 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:00:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:11:53 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:11:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:12:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:12:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:17 +0900] "GET /spring-project/waitRoom-client.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:17 +0900] "GET /spring-project/js/client/waitRoom/waitRoom-client.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:17 +0900] "GET /rtc-merge/image/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:22 +0900] "GET /spring-project/waitRoom-teller.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:23 +0900] "GET /spring-project/js/teller/waitRoom/waitRoom-teller.js HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:34 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:34 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:34 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:34 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 12977
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:36 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:36 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:36 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 12680
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:36 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:14:14:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:00 +0900] "GET /spring-project/waitRoom-client.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:05 +0900] "GET /spring-project/waitRoom-teller.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:06 +0900] "GET /spring-project/js/teller/waitRoom/waitRoom-teller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:19 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:19 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:19 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:19 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 17988
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:22 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:22 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 14409
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:22 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:22:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:45 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:45 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:45 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:45 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:45 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 18252
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:47 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:47 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:48 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 14409
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:48 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:29:48 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:30:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:26 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:26 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:26 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:26 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:29 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:29 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:29 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 14440
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:37:29 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:38:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:22 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:22 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:25 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:25 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:25 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 14440
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:25 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:41:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:42:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:05 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:05 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:05 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:05 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 18319
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:07 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:07 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:08 +0900] "GET /spring-project/js/client/bankCounter/bankCounter-client.js HTTP/1.1" 200 14440
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:08 +0900] "GET /spring-project/image/loading.gif HTTP/1.1" 200 82954
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:52:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:22 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:22 +0900] "GET /spring-project/bankCounter-teller.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:23 +0900] "GET /spring-project/js/teller/bankCounter/bankCounter-teller.js HTTP/1.1" 200 18319
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:25 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:16:55:25 +0900] "GET /spring-project/bankCounter-client.jsp HTTP/1.1" 200 1518
